"Relative Time (Process)","train50-dali-all-CPU-processing - system/gpu.0.gpu","train50-dali-all-CPU-processing - system/gpu.0.gpu__MIN","train50-dali-all-CPU-processing - system/gpu.0.gpu__MAX"
"13065.6146379","86","86","86"
"13080.616579003","62","62","62"
"13095.615843671","78","78","78"
"13110.615484309","91","91","91"
"13125.615450587","86","86","86"
"13140.616317512","78","78","78"
"13155.616440827","95","95","95"
"13170.614785327","91","91","91"
"13185.61650118","0","0","0"
"13200.614636663","92","92","92"
"13215.617150048","92","92","92"
"13230.614605627","82","82","82"
"13245.615225575","81","81","81"
"13260.61536213","68","68","68"
"13275.618663395","93","93","93"
"13290.615307669","73","73","73"
"13305.615397121","88","88","88"
"13320.615678818","93","93","93"
"13335.616407618","85","85","85"
"13350.615721429","94","94","94"
"13365.615250232","93","93","93"
"13380.614812308","85","85","85"
"13395.616776521","67","67","67"
"13410.616315062","87","87","87"
"13425.615338474","91","91","91"
"13440.615734854","95","95","95"
"13455.616423229","84","84","84"
